REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,MONTH,YEAR,DEPTH,SEVERITY_CODE,BLEACHING_SEVERITY,CORAL_FAMILY,CORAL_SPECIES,PERCENTAGE_AFFECTED,BLEACHING_DURATION,MORTALITY_CODE,MORTALITY,RECOVERY_CODE,RECOVERY,SURVEY_TYPE,SURVEY_AREA,WATER_TEMPERATURE,OTHER_FACTORS,REMARKS
Americas,Mesoamerica,Belize,Silk cayes,16,-88,9,2008,5 m,2,Medium,,"agaricia	t enuifolia, porities	 porites, siderea	 siderastrea, d. strigosa m. annularis, a. cervicornis a. palmata,  porities	 astreoides, millapora	 complanata",30%,,,,,,Diver observations/measurements,2 m2,,,"Average Hard coral: 20% Soft coral: 10%
Bleached Hard coral: 30% Soft coral: 0%
 fringing reef around middle silk (or Queens) caye UTM coordinates are 389147, 1819134, NAD27 datum
Seen bleaching at the site in other years?  Yes
If yes, the number of previous times bleached: 3times
Has the site experience unusually high temperatures? Yes
Agaricia	t enuifolia	-  40	% bleached, Porities	 porites - 	30	%bleached
Siderea	 siderastrea- 	30	%bleached, Porities	 astreoides-40	%bleached
Millapora	 complanata	- 30%bleached
Aso d. strigosa m. annularis, a. cervicornis a. palmata looking pale"
Americas,Mesoamerica,Belize,South Water Caye,16.81,-88.06,5,1999,5.7,1,Low,,"Agaricia tenuifolia,Agaricia tenuifolia,Dendrogyra cylindrus,Dichocoenia stokesi,Diploria strigosa,Diploria strigosa,Diploria strigosa,Millepora alcicornis,Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Porites astreoides,Porites astreoides,Porites astreoides,Porites porites,Siderastrea siderea,Siderastrea siderea,Siderastrea siderea,Siderastrea siderea,Siderastrea siderea,Siderastrea siderea,Siderastrea siderea,Siderastrea siderea,",14.336917562724,,,,,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 279,,,,
Americas,Mesoamerica,Belize,South Water Caye Deep (WP16),16.813,-88.078,7,2000,13.5,1,Low,,"Agaricia agaricites,Agaricia agaricites,Montastraea faveolata,Montastraea faveolata,Montastraea faveolata,Montastraea faveolata,Porites astreoides,",11.4754098360656,,,,,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 61,,,,
Americas,Mesoamerica,Belize,Tobacco,17.92,-87.94,5,1999,5.7,1,Low,,"Agaricia tenuifolia,Agaricia tenuifolia,Diploria labyrinthiformis,Diploria strigosa,Diploria strigosa,Diploria strigosa,Diploria strigosa,Diploria strigosa,Montastraea cavernosa,Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Porites astreoides,Porites astreoides,Porites astreoides,Porites porites,Porites porites,Siderastrea siderea,Siderastrea siderea,Siderastrea siderea,Siderastrea siderea,Siderastrea siderea,Siderastrea siderea,Siderastrea siderea,Siderastrea siderea,Siderastrea siderea,Siderastrea siderea,Stephanocoenia intersepta,",12.5,,,,,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 232,,,,
Americas,Mesoamerica,Belize,Tunicate Cove,16.66,-88.19,5,1999,6.9,1,Low,,"Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Porites astreoides,Porites astreoides,Porites astreoides,Porites astreoides,Stephanocoenia intersepta,",4.27807486631016,,,,,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 187,,,,
Americas,Mesoamerica,Belize,W. Glovers Deep (WP22),16.74133,-87.88405,7,2000,5.9,1,Low,,,5.35714285714286,,,,,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 56,,,,
Americas,Mesoamerica,Belize,Wee Wee Caye Patch,16.76,-88.14,5,1999,4.5,1,Low,,"Acropora palmata,Agaricia tenuifolia,Diploria strigosa,Diploria strigosa,Diploria strigosa,Diploria strigosa,Diploria strigosa,Diploria strigosa,Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Montastraea sp. (= annularis complex),Porites astreoides,Porites astreoides,Porites astreoides,Porites astreoides,Porites astreoides,Porites astreoides,Porites astreoides,Porites porites,Porites porites,Porites porites,Porites porites,Porites porites,Stephanocoenia intersepta,",23.4848484848485,,,,,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 264,,,,
Americas,Mesoamerica,Belize,Wee Wee Caye Ridge,16.76,-88.14,5,1999,2.8,1,Low,,"Agaricia sp.,Agaricia sp.,Dichocoenia stokesi,Porites astreoides,Porites astreoides,Porites astreoides,Porites astreoides,Porites porites,Stephanocoenia intersepta,",5.92105263157895,,,,,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 152,,,,
Americas,Mesoamerica,Mexico,"Between Puerto Morelos and Cancun (NE Yucatán, México)",20.833,-86.868,9,2003,1m-4m,2,Medium,,"Millepora alcicornis, Briareum asbestinum, Montastraea annularis, M. faveolata, Acropora palmata, A. tennuifolia, D. strigosa,  S. siderea, Porites furcata, Eunicea sp, Palythoa caribbea.",35%,first observed date: 9/11/2003,0,,,,Diver observation (8 hr),>1000m square,29.3C - 31.1C (at 0.5m),,"Average Hard coral: 20% Soft coral: 20%
Bleached Hard coral: 30% Soft coral: 5%
Mild bleaching has been observed in several shallow (<4m) reefs sites 
between Puerto Morelos and Cancun (NE Yucatán, México). Sporadic colonies of several species have been observed with  white (Millepora alcicornis, Briareum asbestinum) and pale colorations (Montastraea annularis, M. faveolata, A. palmata, A. tennuifolia, D. strigosa,  S. siderea, Porites furcata, Eunicea sp, Palythoa caribbea.).
Montastraea  annularis, faveolata 30% bleached 
Agaricial tennuifolia 75 % bleached 
Millepora alcicornis 40 % bleached 
Briareum asbestinum 30 % bleached 
Diploria strigosa 5 % bleached 
White color only in M. alcicornis and Briareum asbestinum. Other species looking pale.
Previous bleaching records 1995 - severe, 1997 and 1998 - less severe, 2002 - mild"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.724,-87.69676,5,2005,7.75m,1,Low,,,11.76470588235294,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 17
; Number of bleached colonies: 2"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.70703,-87.70684,5,2005,5.1m,2,Medium,,,33.333333333333329,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 12
; Number of bleached colonies: 4"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.63451,-87.72215,6,2005,4.9m,0,No Bleaching,,,0,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 2
; Number of bleached colonies: 0"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.65961,-87.71934,6,2005,3.85m,0,No Bleaching,,,0,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 3
; Number of bleached colonies: 0"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.65963,-87.71564,6,2005,21.2m,1,Low,,,30,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 20
; Number of bleached colonies: 6"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68681,-87.70937,6,2005,18.25m,0,No Bleaching,,,0,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 37
; Number of bleached colonies: 0"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68681,-87.70937,6,2005,14.5m,1,Low,,,6.4516129032258061,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 31
; Number of bleached colonies: 2"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68717,-87.71223,6,2005,4.9m,0,No Bleaching,,,0,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 8
; Number of bleached colonies: 0"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68717,-87.71223,6,2005,5.8m,0,No Bleaching,,,0,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 6
; Number of bleached colonies: 0"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68681,-87.70937,6,2005,18.6m,0,No Bleaching,,,0,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 20
; Number of bleached colonies: 0"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.74183,-87.6744,6,2005,21m,0,No Bleaching,,,0,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 5
; Number of bleached colonies: 0"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.70659,-87.70395,6,2005,14m,1,Low,,,23.52941176470588,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 34
; Number of bleached colonies: 8"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68717,-87.71223,6,2005,6.4m,1,Low,,,30,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 10
; Number of bleached colonies: 3"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.70686,-87.70576,7,2005,10.05m,1,Low,,,19.230769230769234,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 26
; Number of bleached colonies: 5"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.70686,-87.70576,7,2005,9m,1,Low,,,23.52941176470588,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 17
; Number of bleached colonies: 4"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.65949,-87.71653,5,2006,11.2m,1,Low,,,22.727272727272727,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 22
; Number of bleached colonies: 5"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68731,-87.71051,5,2006,11.25m,2,Medium,,,41.666666666666671,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 24
; Number of bleached colonies: 10"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.65949,-87.71653,5,2006,12.05m,1,Low,,,31.25,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 16
; Number of bleached colonies: 5"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.65949,-87.71653,5,2006,11.25m,1,Low,,,22.222222222222221,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 18
; Number of bleached colonies: 4"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68717,-87.71223,5,2006,6.55m,1,Low,,,8.3333333333333321,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 12
; Number of bleached colonies: 1"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68717,-87.71223,5,2006,7.45m,1,Low,,,22.222222222222221,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 18
; Number of bleached colonies: 4"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.65963,-87.71564,5,2006,18.75m,2,Medium,,,50,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 16
; Number of bleached colonies: 8"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.71992,-87.70112,5,2006,5.3m,1,Low,,,30.76923076923077,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 13
; Number of bleached colonies: 4"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.71956,-87.69773,5,2006,15.6m,1,Low,,,10,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 20
; Number of bleached colonies: 2"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68681,-87.70937,5,2006,15.65m,1,Low,,,10.526315789473683,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 19
; Number of bleached colonies: 2"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.65963,-87.71564,5,2006,17m,1,Low,,,4.3478260869565215,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 23
; Number of bleached colonies: 1"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.71956,-87.69773,6,2006,15.5m,1,Low,,,23.076923076923077,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 26
; Number of bleached colonies: 6"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.71992,-87.70112,6,2006,6.6m,1,Low,,,20,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 20
; Number of bleached colonies: 4"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.71956,-87.69945,5,2006,8.95m,1,Low,,,11.111111111111111,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 18
; Number of bleached colonies: 2"
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68731,-87.71051,5,2006,10m,1,Low,,,11.76470588235294,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 17
; Number of bleached colonies: 2"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.68092,-87.71259,5,2005,9.9m,1,Low,,,26.666666666666668,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 15
; Number of bleached colonies: 4"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70703,-87.70684,5,2005,5.65m,1,Low,,,16.666666666666664,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 6
; Number of bleached colonies: 1"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70686,-87.70576,5,2005,9.1m,1,Low,,,19.230769230769234,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 26
; Number of bleached colonies: 5"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.72411,-87.69834,5,2005,5.5m,1,Low,,,30.76923076923077,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,Number of colonies observed: 13; Number of bleached colonies: 4
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.68084,-87.71415,8,2005,6.25m,0,No Bleaching,,,0,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 6
; Number of bleached colonies: 0"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.68064,-87.71131,8,2005,14.45m,1,Low,,,10,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 30
; Number of bleached colonies: 3"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.71956,-87.69773,8,2005,16.05m,2,Medium,,,52.631578947368418,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 19
; Number of bleached colonies: 10"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.63451,-87.72215,8,2005,4.75m,2,Medium,,,33.333333333333329,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 9
; Number of bleached colonies: 3"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.724,-87.69676,8,2005,8m,1,Low,,,4.5454545454545459,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 22
; Number of bleached colonies: 1"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70659,-87.70395,8,2005,16.2m,1,Low,,,28.571428571428569,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 14
; Number of bleached colonies: 4"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.71956,-87.69945,7,2005,10.05m,1,Low,,,31.818181818181817,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 22
; Number of bleached colonies: 7"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.71992,-87.70112,7,2005,4.7m,1,Low,,,30,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 10
; Number of bleached colonies: 3"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.72411,-87.69834,5,2005,5.3m,1,Low,,,10,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 10
; Number of bleached colonies: 1"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70659,-87.70395,5,2005,14.3m,3,HIGH,,,73.91304347826086,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 23
; Number of bleached colonies: 17"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70659,-87.70395,5,2005,13.75m,2,Medium,,,42.105263157894733,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 19
; Number of bleached colonies: 8"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.66717,-87.71423,5,2005,14.15m,2,Medium,,,33.333333333333329,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 21
; Number of bleached colonies: 7"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.68084,-87.71415,5,2005,6.55m,0,No Bleaching,,,0,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 4
; Number of bleached colonies: 0"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70686,-87.70576,5,2005,12.5m,2,Medium,,,64,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 25
; Number of bleached colonies: 16"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.66717,-87.71423,5,2005,13.55m,1,Low,,,5,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 20
; Number of bleached colonies: 1"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.68064,-87.71131,3,2006,16.1m,2,Medium,,,64,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 25
; Number of bleached colonies: 16"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.71956,-87.69945,12,2005,8.55m,2,Medium,,,44.117647058823529,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 34
; Number of bleached colonies: 15"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70659,-87.70395,12,2005,14.95m,2,Medium,,,45.454545454545453,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 33
; Number of bleached colonies: 15"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.68092,-87.71259,2,2006,10m,2,Medium,,,58.064516129032263,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 31
; Number of bleached colonies: 18"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70686,-87.70576,2,2006,9.2m,2,Medium,,,57.894736842105267,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 19
; Number of bleached colonies: 11"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70659,-87.70395,2,2006,15.6m,2,Medium,,,44.827586206896555,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 29
; Number of bleached colonies: 13"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70659,-87.70395,3,2006,15.8m,3,HIGH,,,71.428571428571431,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 21
; Number of bleached colonies: 15"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.72411,-87.69834,3,2006,4.85m,2,Medium,,,33.333333333333329,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 9
; Number of bleached colonies: 3"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.72411,-87.69834,3,2006,5.65m,1,Low,,,25,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 16
; Number of bleached colonies: 4"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.63473,-87.71884,3,2006,17.6m,3,HIGH,,,68.421052631578945,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 19
; Number of bleached colonies: 13"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.63473,-87.71884,3,2006,18.2m,1,Low,,,31.25,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 16
; Number of bleached colonies: 5"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.66717,-87.71423,3,2006,15.45m,3,HIGH,,,77.272727272727266,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 22
; Number of bleached colonies: 17"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.71956,-87.69945,8,2005,9.8m,1,Low,,,29.166666666666668,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 24
; Number of bleached colonies: 7"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70659,-87.70395,8,2005,15.85m,2,Medium,,,42.424242424242422,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 33
; Number of bleached colonies: 14"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.724,-87.69676,11,2005,8.3m,3,HIGH,,,75,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 16
; Number of bleached colonies: 12"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.724,-87.69676,11,2005,8.4m,3,HIGH,,,74.074074074074076,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 27
; Number of bleached colonies: 20"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.66723,-87.71551,11,2005,10.1m,2,Medium,,,35.483870967741936,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 31
; Number of bleached colonies: 11"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.66723,-87.71551,11,2005,10.55m,2,Medium,,,33.333333333333329,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 30
; Number of bleached colonies: 10"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.72411,-87.69834,11,2005,4.65m,1,Low,,,5.5555555555555554,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 18
; Number of bleached colonies: 1"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.72411,-87.69834,11,2005,4.65m,1,Low,,,25,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 20
; Number of bleached colonies: 5"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.66723,-87.71551,11,2005,10.4m,3,HIGH,,,88.461538461538453,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 26
; Number of bleached colonies: 23"
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.66723,-87.71551,11,2005,10.35m,3,HIGH,,,75,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 24
; Number of bleached colonies: 18"
Americas,Mesoamerica,Mexico,"Faro Viejo, Mahahual",18.71992,-87.70112,6,2006,6.15m,2,Medium,,,63.636363636363633,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 11
; Number of bleached colonies: 7"
Americas,Mesoamerica,Mexico,"Faro Viejo, Mahahual",18.74206,-87.67701,6,2006,11m,1,Low,,,6.25,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 16
; Number of bleached colonies: 1"
Americas,Mesoamerica,Mexico,"Faro Viejo, Mahahual",18.74206,-87.67701,6,2006,10.7m,1,Low,,,25,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 8
; Number of bleached colonies: 2"
Americas,Mesoamerica,Mexico,"Faro Viejo, Mahahual",18.68717,-87.71223,6,2005,6.85m,2,Medium,,,33.333333333333329,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 3
; Number of bleached colonies: 1"
Americas,Mesoamerica,Mexico,"Faro Viejo, Mahahual",18.68084,-87.71415,5,2005,6.4m,0,No Bleaching,,,0,,,,,,"SAM MBRS, Transects - line intercept",> 1000m2,,,"Number of colonies observed: 2
; Number of bleached colonies: 0"
